iter	Passed	Remaining
402	11510	17050
403	11537	17020
404	11564	16989
405	11590	16958
406	11619	16929
407	11646	16899
408	11676	16872
409	11703	16840
410	11730	16811
411	11759	16783
412	11792	16760
413	11822	16733
414	11848	16702
415	11875	16670
416	11901	16639
417	11929	16609
418	11954	16576
419	11980	16544
420	12008	16514
421	12035	16484
422	12061	16452
423	12091	16425
424	12119	16397
425	12146	16365
426	12173	16336
427	12202	16307
428	12228	16276
429	12255	16245
430	12284	16217
431	12311	16187
432	12339	16158
433	12366	16127
434	12392	16096
435	12419	16065
436	12446	16034
437	12472	16003
438	12499	15972
439	12529	15946
440	12555	15915
441	12581	15883
442	12612	15858
443	12640	15828
444	12668	15800
445	12695	15770
446	12722	15739
447	12752	15712
448	12778	15681
449	12807	15653
450	12834	15623
451	12861	15593
452	12890	15565
453	12920	15538
454	12949	15510
455	12976	15480
456	13003	15450
457	13030	15420
458	13058	15391
459	13085	15360
460	13112	15331
461	13138	15299
462	13166	15270
463	13193	15240
464	13221	15212
465	13248	15182
466	13277	15153
467	13305	15124
468	13331	15093
469	13360	15065
470	13388	15037
471	13416	15007
472	13443	14978
473	13469	14947
474	13494	14915
475	13524	14888
476	13552	14859
477	13580	14830
478	13605	14798
479	13634	14770
480	13662	14741
481	13688	14710
482	13715	14681
483	13742	14650
484	13769	14621
485	13796	14591
486	13825	14563
487	13853	14534
488	13885	14510
489	13917	14485
490	13944	14456
491	13973	14427
492	14000	14398
493	14027	14368
494	14054	14338
495	14083	14310
496	14110	14280
497	14135	14249
498	14163	14220
499	14190	14190
500	14218	14161
501	14245	14131
502	14271	14101
503	14297	14070
504	14325	14041
505	14352	14011
506	14379	13982
507	14405	13951
508	14432	13922
509	14457	13890
510	14483	13860
511	14510	13830
512	14536	13799
513	14562	13768
514	14588	13739
515	14614	13708
516	14641	13678
517	14666	13647
518	14690	13615
519	14715	13583
520	14739	13550
521	14763	13519
522	14788	13487
523	14811	13455
524	14836	13423
525	14861	13392
526	14884	13359
527	14909	13328
528	14934	13297
529	14957	13264
530	14982	13233
531	15006	13201
532	15030	13169
533	15056	13139
534	15081	13108
535	15107	13077
536	15132	13047
537	15159	13018
538	15184	12987
539	15209	12956
540	15236	12927
541	15262	12896
542	15288	12866
543	15314	12836
544	15339	12806
545	15366	12777
546	15392	12747
547	15418	12717
548	15442	12685
549	15465	12653
550	15489	12621
551	15513	12590
552	15541	12562
553	15566	12531
554	15591	12501
555	15617	12471
556	15644	12442
557	15671	12413
558	15697	12384
559	15721	12352
560	15746	12322
561	15770	12291
562	15794	12259
563	15818	12228
564	15843	12197
565	15866	12166
566	15893	12137
567	15917	12105
568	15941	12075
569	15964	12043
570	15987	12011
571	16009	11979
572	16035	11949
573	16059	11918
574	16084	11888
575	16109	11858
576	16132	11827
577	16157	11796
578	16184	11767
579	16208	11737
580	16232	11706
581	16257	11676
582	16280	11645
583	16306	11615
584	16329	11583
585	16354	11554
586	16378	11523
587	16402	11492
588	16429	11464
589	16456	11435
590	16484	11408
591	16509	11377
592	16534	11348
593	16559	11318
594	16584	11288
595	16610	11259
596	16635	11229
597	16659	11199
598	16684	11169
599	16711	11140
600	16734	11110
601	16761	11081
602	16786	11051
603	16809	11020
604	16832	10989
605	16857	10959
606	16881	10930
607	16905	10899
608	16930	10870
609	16958	10842
610	16983	10812
611	17009	10783
612	17034	10754
613	17059	10724
614	17084	10694
615	17108	10664
616	17133	10635
617	17157	10605
618	17183	10576
619	17209	10547
620	17234	10518
621	17259	10489
622	17284	10459
623	17308	10429
624	17336	10401
625	17365	10375
626	17399	10350
627	17429	10324
628	17455	10295
629	17478	10265
630	17503	10235
631	17528	10206
632	17553	10177
633	17577	10147
634	17606	10120
635	17633	10092
636	17661	10064
637	17689	10037
638	17714	10007
639	17741	9979
640	17765	9949
641	17791	9921
642	17816	9892
643	17841	9862
644	17866	9833
645	17890	9803
646	17914	9774
647	17937	9743
648	17961	9713
649	17985	9684
650	18006	9653
651	18033	9624
652	18057	9595
653	18081	9566
654	18108	9538
655	18133	9508
656	18156	9479
657	18181	9450
658	18206	9420
659	18231	9391
660	18256	9362
661	18280	9333
662	18306	9305
663	18333	9277
664	18361	9249
665	18385	9220
666	18409	9190
667	18434	9162
668	18457	9132
669	18481	9102
670	18508	9074
671	18533	9045
672	18556	9016
673	18581	8987
674	18606	8958
675	18628	8928
676	18658	8902
677	18686	8874
678	18712	8846
679	18739	8818
680	18766	8790
681	18796	8764
682	18831	8740
683	18864	8714
684	18891	8687
685	18918	8659
686	18944	8631
687	18971	8603
688	18998	8575
689	19025	8547
690	19052	8520
691	19080	8492
692	19107	8464
693	19135	8437
694	19163	8410
695	19189	8381
696	19217	8354
697	19247	8327
698	19273	8299
699	19302	8272
700	19331	8245
701	19360	8218
702	19388	8190
703	19417	8164
704	19442	8135
705	19470	8108
706	19497	8080
707	19526	8053
708	19552	8024
709	19579	7997
710	19606	7969
711	19633	7941
712	19661	7914
713	19686	7885
714	19713	7857
715	19742	7830
716	19772	7804
717	19802	7777
718	19830	7750
719	19859	7723
720	19888	7696
721	19916	7668
722	19942	7640
723	19968	7612
724	19998	7585
725	20027	7558
726	20052	7530
727	20081	7502
728	20109	7475
729	20137	7447
730	20163	7419
731	20192	7392
732	20219	7365
733	20245	7337
734	20274	7309
735	20301	7281
736	20326	7253
737	20356	7226
738	20385	7199
739	20413	7172
740	20441	7144
741	20470	7117
742	20498	7090
743	20526	7063
744	20552	7034
745	20581	7007
746	20607	6979
747	20636	6952
748	20665	6925
749	20692	6897
750	20720	6870
751	20747	6842
752	20778	6815
753	20807	6788
754	20838	6762
755	20867	6735
756	20895	6707
757	20923	6680
758	20954	6653
759	20979	6625
760	21006	6597
761	21036	6570
762	21062	6542
763	21089	6514
764	21121	6488
765	21150	6461
766	21179	6433
767	21209	6407
768	21238	6379
769	21264	6351
770	21293	6324
771	21322	6297
772	21349	6269
773	21375	6241
774	21404	6214
775	21432	6186
776	21461	6159
777	21487	6131
778	21515	6103
779	21541	6075
780	21570	6048
781	21600	6021
782	21628	5994
783	21657	5966
784	21685	5939
785	21714	5912
786	21740	5884
787	21766	5855
788	21794	5828
789	21822	5800
790	21851	5773
791	21877	5745
792	21905	5718
793	21934	5690
794	21961	5662
795	21989	5635
796	22015	5607
797	22041	5579
798	22073	5552
799	22099	5524
800	22127	5497
801	22153	5469
802	22181	5441
803	22209	5414
804	22237	5386
805	22264	5358
806	22293	5331
807	22319	5303
808	22346	5275
809	22373	5248
810	22399	5220
811	22426	5192
812	22453	5164
813	22479	5136
814	22508	5109
815	22535	5081
816	22564	5054
817	22591	5026
818	22617	4998
819	22645	4971
820	22671	4943
821	22695	4914
822	22722	4886
823	22748	4858
824	22773	4830
825	22799	4802
826	22824	4774
827	22849	4746
828	22873	4718
829	22897	4689
830	22922	4661
831	22947	4633
832	22972	4605
833	22998	4577
834	23024	4549
835	23052	4522
836	23077	4494
837	23101	4465
838	23125	4437
839	23148	4409
840	23177	4382
841	23201	4353
842	23226	4325
843	23251	4297
844	23277	4269
845	23301	4241
846	23326	4213
847	23353	4186
848	23377	4157
849	23400	4129
850	23424	4101
851	23451	4073
852	23476	4045
853	23500	4017
854	23526	3989
855	23551	3961
856	23575	3933
857	23601	3906
858	23625	3877
859	23650	3850
860	23673	3821
861	23699	3794
862	23725	3766
863	23749	3738
864	23777	3710
865	23801	3682
866	23824	3654
867	23850	3627
868	23874	3598
869	23897	3570
870	23922	3542
871	23947	3515
872	23971	3487
873	23996	3459
874	24023	3431
875	24046	3403
876	24071	3375
877	24094	3348
878	24117	3319
879	24143	3292
880	24167	3264
881	24192	3236
882	24219	3209
883	24247	3181
884	24272	3154
885	24296	3126
886	24321	3098
887	24347	3070
888	24371	3042
889	24395	3015
890	24421	2987
891	24445	2959
892	24471	2932
893	24496	2904
894	24520	2876
895	24543	2848
896	24567	2821
897	24591	2793
898	24619	2765
899	24645	2738
900	24670	2710
901	24695	2683
902	24724	2655
903	24750	2628
904	24776	2600
905	24801	2573
906	24825	2545
907	24850	2517
908	24876	2490
909	24902	2462
910	24933	2435
911	24960	2408
912	24984	2380
913	25008	2353
914	25033	2325
915	25060	2298
916	25084	2270
917	25108	2242
918	25133	2215
919	25158	2187
920	25182	2160
921	25205	2132
922	25230	2104
923	25254	2077
924	25278	2049
925	25303	2022
926	25328	1994
927	25355	1967
928	25380	1939
929	25407	1912
930	25431	1884
931	25457	1857
932	25481	1829
933	25508	1802
934	25532	1774
935	25556	1747
936	25581	1719
937	25606	1692
938	25633	1665
939	25660	1637
940	25688	1610
941	25712	1583
942	25739	1555
943	25764	1528
944	25789	1500
945	25814	1473
946	25840	1446
947	25865	1418
948	25889	1391
949	25917	1364
950	25942	1336
951	25968	1309
952	25995	1282
953	26023	1254
954	26048	1227
955	26074	1200
956	26100	1172
957	26125	1145
958	26151	1118
959	26177	1090
960	26200	1063
961	26227	1036
962	26253	1008
963	26277	981
964	26302	953
965	26324	926
966	26349	899
967	26373	871
968	26399	844
969	26425	817
970	26451	790
971	26474	762
972	26499	735
973	26523	708
974	26547	680
975	26574	653
976	26598	626
977	26623	598
978	26652	571
979	26680	544
980	26709	517
981	26740	490
982	26768	462
983	26797	435
984	26829	408
985	26858	381
986	26885	354
987	26913	326
988	26940	299
989	26967	272
990	26995	245
991	27021	217
992	27048	190
993	27074	163
994	27102	136
995	27131	108
996	27160	81
997	27188	54
998	27217	27
999	27246	0
