iter	RMSE
0	0.8390744339
75	0.5936250778
150	0.5012697536
225	0.4618000348
300	0.4404813472
375	0.4268982554
450	0.4177732537
525	0.4106727894
600	0.4044789585
675	0.3988297555
750	0.393776909
825	0.388985109
900	0.3846731377
975	0.3805055325
999	0.3793057258
